rank,Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,cohortYear,status,gender,yearsteaching
86,445,003o0000005Be6m,3,0.5344800,0.2104400,446,5.5,3.0,0.3863704,0.2248236,0.0221433,0.1488064,3.4680870,-0.1409453,-0.0477259,5.8590547,2.4590547,1.6822741,0.15,0,1,19
87,446,003o0000005Be6n,3,0.5386100,0.1277700,447,5.5,2.5,0.3863704,0.2248236,0.0325963,0.1805444,4.1493932,-0.0963605,-0.1526792,5.9036395,2.5036395,1.5773208,0.15,0,0,15
88,347,003o0000005Be6o,6,0.3105200,-0.3110300,348,-2.0,4.5,0.2472493,-0.3539287,0.0058435,0.0764427,1.8415447,-0.0204448,0.0736579,-0.0204448,-0.0704448,0.6736579,0.15,0,1,7
89,388,003o0000005Be6p,4,-0.3087800,0.3429400,389,1.0,-5.0,-0.2250190,-0.1624963,0.2624818,0.5123298,10.3412839,-0.3118020,-0.4065234,1.6881980,0.3381980,1.3434766,0.15,0,0,14
90,348,003o0000005Be6q,6,0.2147200,-0.2947300,349,-1.5,4.5,0.2472493,-0.3539287,0.0045626,0.0675473,1.6340941,-0.0042727,0.0674120,-0.0042727,-0.0542727,0.6674120,0.15,0,0,13
91,447,003o0000005Be6r,3,0.5875800,0.1604300,448,5.5,2.0,0.3863704,0.2248236,0.0446318,0.2112625,4.7915799,0.0167126,-0.2106004,6.0167126,2.6167126,1.5193996,0.15,0,0,15
92,448,003o0000005Be6s,3,0.4961600,0.1587900,449,5.5,1.5,0.3863704,0.2248236,0.0164142,0.1281179,3.0137664,-0.1270726,0.0163323,5.8729274,2.4729274,1.7463323,0.15,1,0,12
93,349,003o0000005Be6t,6,0.3029400,-0.2759600,350,-1.0,4.5,0.2472493,-0.3539287,0.0091806,0.0958153,2.2874665,-0.0629389,0.0722445,-0.0629389,-0.1129389,0.6722445,0.15,0,0,11
94,350,003o0000005Be6u,6,0.2186200,-0.2555500,351,-0.5,4.5,0.2472493,-0.3539287,0.0104980,0.1024597,2.4385954,-0.0781673,0.0662410,-0.0781673,-0.1281673,0.6662410,0.15,0,0,11
95,139,003o0000005Be6v,0,-0.5058500,-0.1769800,140,-0.5,-3.0,-0.3321476,-0.1116428,0.0344415,0.1855841,4.2558896,-0.0818071,-0.1665805,-4.0818071,-1.5818071,-0.5665805,0.15,0,1,11
96,351,003o0000005Be6w,6,0.2347300,-0.4044800,352,0.0,4.5,0.2472493,-0.3539287,0.0027122,0.0520785,1.2691927,0.0154700,0.0497277,0.0154700,-0.0345300,0.6497277,0.15,0,1,12
97,343,003o0000005Be6x,6,0.2577800,-0.3484900,344,-4.0,4.5,0.2472493,-0.3539287,0.0001405,0.0118522,0.2945639,0.0113418,0.0034410,0.0113418,-0.0386582,0.6034410,0.15,0,1,8
98,427,003o0000005Be6y,2,0.1036000,-0.5047200,428,-1.5,5.0,0.0846223,-0.2429010,0.0689094,0.2625059,5.8274643,0.2357156,-0.1155314,4.2357156,1.8857156,-1.4455314,0.15,0,0,11
99,435,003o0000005Be6z,2,0.0303300,-0.5115500,436,2.5,5.0,0.0846223,-0.2429010,0.0751200,0.2740802,6.0556125,0.2670135,-0.0618362,4.2670135,1.9170135,-1.3918362,0.15,0,0,11
100,434,003o0000005Be70,2,-0.1892700,-0.4422500,435,2.0,5.0,0.0846223,-0.2429010,0.1147570,0.3387580,7.2935586,0.1800650,0.2869383,4.1800650,1.8300650,-1.0430617,0.15,0,1,13
101,352,003o0000005Be71,6,0.1695300,-0.3850500,353,0.5,4.5,0.2472493,-0.3539287,0.0070088,0.0837187,2.0099591,-0.0355957,0.0757745,-0.0355957,-0.0855957,0.6757745,0.15,0,1,29
102,389,003o0000005Be72,4,0.0037700,-0.6106500,390,0.5,-5.0,-0.2250190,-0.1624963,0.2531861,0.5031760,10.1895056,-0.3630772,-0.3483691,1.6369228,0.2869228,1.4016309,0.15,0,0,13
103,203,003o0000005Be73,0,-0.2814900,-0.1399200,204,-3.5,0.0,-0.3321476,-0.1116428,0.0033658,0.0580154,1.4098733,0.0092958,0.0572659,-3.9907042,-1.4907042,-0.3427341,0.15,0,1,8
104,444,003o0000005Be74,3,0.4696500,0.2316600,445,5.5,3.5,0.3863704,0.2248236,0.0069822,0.0835597,2.0062916,-0.0352505,0.0757604,5.9647495,2.5647495,1.8057604,0.15,0,1,18
105,204,003o0000005Be75,0,-0.4123200,-0.2903700,205,-3.5,0.5,-0.3321476,-0.1116428,0.0383710,0.1958852,4.4721667,-0.0466047,-0.1902604,-4.0466047,-1.5466047,-0.5902604,0.15,0,1,8
106,205,003o0000005Be76,0,-0.4163300,-0.2668000,206,-3.5,1.0,-0.3321476,-0.1116428,0.0311604,0.1765231,4.0640901,-0.1065902,-0.1407087,-4.1065902,-1.6065902,-0.5407087,0.15,0,1,7
107,206,003o0000005Be77,0,-0.4795400,-0.2991400,207,-3.5,1.5,-0.3321476,-0.1116428,0.0568797,0.2384947,5.3474166,0.1414750,-0.1920014,-3.8585250,-1.3585250,-0.5920014,0.15,1,1,6
